bloodmeal_id,locus_count,est_noc,match,human_id,log10_lr,notes,thresh_low
L13_00003,2,1,no,NA,NA,all log10LRs NA or Inf,NA
K13_00174,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M07_0474,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K14_00078,9,1,no,NA,NA,all log10LRs < 1.5,NA
M03_00169,9,1,yes,M03_1,8.45,passed all filters,7.5
K04_00022,9,1,yes,K04_1,9.91,passed all filters,9
K16_00010,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S04_00120,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
N14_00047,9,1,yes,N14_2,12.35,passed all filters,11.5
K13_00214,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
N13_00029,9,2,yes,N13_3,9.29,passed all filters,8.5
K01_00107,7,1,yes,L04_6,4.35,passed all filters,3.5
M06_0231,9,2,yes,M06_5,8.45,passed all filters,7
M06_0231,9,2,yes,M06_3,7.95,passed all filters,7
L04_00003,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K07_00091,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M13_00149,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K05_00171,4,1,no,NA,NA,> min NOC matches,2
N13_00062,9,1,yes,N13_5,8.6,passed all filters,8
S01_00117,9,1,yes,S01_6,8.96,passed all filters,8
M17_00145,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K03_00088,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M03_0155,9,1,yes,M03_1,8.45,passed all filters,7.5
S02_00115,2,1,no,NA,NA,all log10LRs NA or Inf;euroformix error;no shared alleles,NA
M01_00362,3,1,no,NA,NA,all log10LRs NA or Inf,NA
M16_00372,9,1,yes,M16_5,8.49,passed all filters,7.5
M09_0440,9,1,yes,M09_4,9.13,passed all filters,8.5
S16_00031,9,1,yes,S16_4,8.04,passed all filters,7.5
M17_00103,9,1,yes,M17_4,9.25,passed all filters,8.5
K11_00067,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K01_00189,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K11_00038,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K13_00230,9,1,yes,K13_15-K16_3,7.91,passed all filters,7
K15_00038,9,1,yes,K15_1,8.69,passed all filters,8
M01_0273,1,1,no,NA,NA,all log10LRs NA or Inf;euroformix error;no shared alleles,NA
M03_00183,9,1,yes,M01_5,8.96,passed all filters,8
M09_00484,6,2,yes,M01_3,1.66,passed all filters,1
M09_00484,6,2,yes,S03_5,1.1,passed all filters,1
S10_00042,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M13_00128,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S10_00057,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K01_00159,9,1,yes,K01_5,9.16,passed all filters,8.5
K09_00046,9,1,yes,K09_1,9.78,passed all filters,9
S05_00038,9,1,yes,S05_4,10.74,passed all filters,10
M01_00332,9,2,yes,M01_3,9.86,passed all filters,9
K05_00153,9,1,yes,K05_5,8.51,passed all filters,8
K02_00136,9,1,yes,K02_13,8.86,passed all filters,8
S05_00050,9,2,yes,S05_5,4.34,passed all filters,3.5
M16_00353,9,2,yes,M16_2,6.95,passed all filters,2.5
M16_00353,9,2,yes,M16_5,3,passed all filters,2.5
N15_00044,9,1,yes,N15_3,8.6,passed all filters,8
S14_00023,9,1,yes,S14_2,9.68,passed all filters,9
M01_00372,9,1,yes,M01_5,8.96,passed all filters,8
K13_00184,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M09_0365,9,2,yes,M09_3,9.88,passed all filters,9
K15_00053,9,2,yes,K15_4,5.22,passed all filters,4.5
K15_00053,9,2,yes,K15_3,8.25,passed all filters,4.5
M09_0387,9,1,yes,M09_4,9.13,passed all filters,8.5
M09_0415,9,1,yes,M09_4,9.13,passed all filters,8.5
M05_00142,9,1,no,NA,NA,all log10LRs < 1.5,NA
K01_00190,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M09_00511,9,1,yes,M09_13,10.29,passed all filters,9.5
K02_00163,9,1,yes,K02_8,7.43,passed all filters,6.5
M01_00361,9,2,yes,M01_3,9.18,passed all filters,8.5
M15_00191,9,1,yes,M15_7,10.04,passed all filters,9.5
M17_00141,9,1,yes,M17_4,7.19,passed all filters,6.5
M16_00297,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M09_0404,9,1,yes,M09_3,9.91,passed all filters,9
N13_00075,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K13_00185,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
L18_00015,9,2,yes,L18_3,9.12,passed all filters,8.5
K11_00085,9,1,yes,K11_1,10.82,passed all filters,10
M17_00036,9,1,yes,M17_3,10.38,passed all filters,9.5
M15_00187,9,1,yes,M15_5,9.77,passed all filters,9
M09_XX359,9,2,yes,M09_4,8.7,passed all filters,6
M09_XX359,9,2,yes,M09_5,6.5,passed all filters,6
M01_00351,9,2,no,NA,NA,all log10LRs NA or Inf,NA
S05_00047,9,1,yes,S05_4,10.74,passed all filters,10
N16_00002,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K05_00155,9,1,yes,K05_3,8.82,passed all filters,8
K13_00173,1,1,no,NA,NA,all log10LRs NA or Inf;euroformix error;no shared alleles,NA
M01_00357,1,1,no,NA,NA,all log10LRs NA or Inf;euroformix error;no shared alleles,NA
M17_00116,9,1,yes,M17_4,9.25,passed all filters,8.5
M16_00183,9,1,yes,M16_5,8.49,passed all filters,7.5
M17_00122,9,1,yes,M17_4,9.25,passed all filters,8.5
K11_00053,9,1,yes,N14_3,6.16,passed all filters,5.5
M06_00111,9,1,yes,M06_2,9.91,passed all filters,9
M09_00459,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M17_00077,9,1,yes,M17_4,9.25,passed all filters,8.5
K11_00065,9,1,yes,K11_3,11.74,passed all filters,11
M16_00333,9,1,yes,M16_4,9.23,passed all filters,8.5
M17_00106,9,1,yes,M17_4,9.25,passed all filters,8.5
M17_00113,9,1,yes,M17_4,9.25,passed all filters,8.5
K05_00315,1,1,no,NA,NA,all log10LRs NA or Inf;euroformix error;no shared alleles,NA
K13_00213,9,1,yes,K16_5,9.65,passed all filters,9
M17_00037,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M15_00230,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M09_XX357,9,2,no,NA,NA,> min NOC matches,5
S09_00043,9,1,yes,S09_8,8.9,passed all filters,8
N11_00029,9,1,yes,N11_7,8.44,passed all filters,7.5
S09_00048,9,1,yes,S09_2,9.15,passed all filters,8.5
M16_00156,9,1,yes,M16_3,10.59,passed all filters,10
L13_00007,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
N13_00060,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M01_00184,9,2,yes,M01_3,9.88,passed all filters,9
K01_00160,9,1,yes,K01_5,9.16,passed all filters,8.5
M07_0472,9,1,yes,M07_1,10.64,passed all filters,10
K01_00119,9,1,yes,K01_4,8.49,passed all filters,7.5
M07_00423,9,1,yes,M07_2,10.19,passed all filters,9.5
S02_00079,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M17_00136,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M09_00527,9,1,yes,M09_13,10.29,passed all filters,9.5
M19_00001,9,1,yes,M19_1,8.59,passed all filters,8
K13_00135,9,1,yes,K16_5,9.65,passed all filters,9
S09_00047,9,1,no,NA,NA,all log10LRs < 1.5,NA
S04_00125,9,1,no,NA,NA,all log10LRs < 1.5,NA
M17_00033,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
L16_00017,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M07_0478,9,1,yes,M07_3,9.64,passed all filters,9
S02_00075,9,1,yes,S02_4,9.92,passed all filters,9
N09_00014,9,1,yes,N09_5,8.93,passed all filters,8
N03_00017,9,1,yes,N03_3,8.97,passed all filters,8
M07_0585,9,1,no,NA,NA,all log10LRs < 1.5,NA
L02_00009,9,1,yes,L02_6,8.83,passed all filters,8
M09_0369,9,1,yes,M09_7,9.58,passed all filters,9
K01_00103,9,1,yes,K01_5,9.16,passed all filters,8.5
M01_00392,9,2,yes,M01_3,6.05,passed all filters,5.5
M01_00392,9,2,yes,M01_5,6.56,passed all filters,5.5
M04_00108,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K04_00029,9,1,yes,K04_3,9.98,passed all filters,9
M17_00125,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
N03_00007,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
N13_00041,9,1,yes,N13_5,8.6,passed all filters,8
S16_00029,9,1,yes,S16_4,8.09,passed all filters,7.5
M09_0364,9,1,yes,M09_8,9.44,passed all filters,8.5
M09_XX360,9,1,yes,M09_4,8.4,passed all filters,7.5
S04_00086,9,2,yes,S04_6,6.84,passed all filters,6
K15_00032,9,1,yes,K15_1,8.69,passed all filters,8
S02_00104,9,1,yes,S02_4,9.92,passed all filters,9
S14_00018,9,2,yes,S14_5,7.86,passed all filters,7
S04_00088,9,1,yes,S04_13,8.49,passed all filters,7.5
N15_00008,9,1,yes,N15_3,8.6,passed all filters,8
M17_00139,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M16_00169,9,1,yes,M16_3,10.59,passed all filters,10
N13_00006,9,2,no,NA,NA,all log10LRs < 1.5,NA
M07_0544,9,1,yes,M07_10,10.11,passed all filters,9.5
N07_00005,9,1,yes,N07_5,8.03,passed all filters,7.5
M01_0405,5,1,no,NA,NA,> min NOC matches,2
M06_0197,2,1,no,NA,NA,all log10LRs NA or Inf;no shared alleles;euroformix error,NA
M07_0452,9,1,yes,M07_1,10.64,passed all filters,10
S05_00055,9,1,yes,S05_2,8.79,passed all filters,8
S04_00112,9,1,yes,S04_8,10.32,passed all filters,9.5
K01_00139,9,1,yes,K01_3,8.74,passed all filters,8
K11_00048,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K15_00059,9,1,yes,K15_4,8.07,passed all filters,7.5
M16_00144,9,1,yes,M16_5,8.49,passed all filters,7.5
K01_00188,9,1,yes,K01_8,7.6,passed all filters,7
M09_00338,9,1,yes,M09_4,9.13,passed all filters,8.5
M09_00477,9,1,yes,M09_7,9.58,passed all filters,9
K12_00097,9,1,yes,K12_7-K14_4,8.54,passed all filters,8
K01_00126,8,1,no,NA,NA,all log10LRs < 1.5,NA
M18_00005,5,1,yes,M09_3,3.01,passed all filters,2.5
N08_00031,9,1,yes,N08_3,11.46,passed all filters,10.5
N15_00028,9,1,yes,N15_3,8.6,passed all filters,8
K12_00147,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S10_00081,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S14_00051,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K05_00242,9,2,yes,K05_1,8.77,passed all filters,8
N13_00022,9,1,yes,N13_5,8.6,passed all filters,8
M13_00136,1,1,no,NA,NA,all log10LRs NA or Inf;no shared alleles,NA
N13_00053,9,1,yes,N13_5,8.6,passed all filters,8
N04_00015,9,1,yes,N04_2,8.18,passed all filters,7.5
M15_00223,9,1,yes,M15_4,11.52,passed all filters,11
N14_00038,6,1,no,NA,NA,> min NOC matches,3
K01_00123,9,1,yes,K01_5,9.16,passed all filters,8.5
M09_00472,9,1,yes,M09_13,10.29,passed all filters,9.5
S17_00001,9,1,no,NA,NA,all log10LRs < 1.5,NA
M17_00127,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K05_00198,9,2,yes,K05_4,10.1,passed all filters,6.5
K05_00198,9,2,yes,K05_6,7.13,passed all filters,6.5
M09_00327,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S02_00117,9,1,yes,S02_4,9.92,passed all filters,9
M17_00095,9,1,yes,M17_4,9.25,passed all filters,8.5
M09_00473,9,1,yes,M09_7,9.58,passed all filters,9
M16_00173,9,1,yes,M16_5,8.49,passed all filters,7.5
S02_00069,9,1,yes,S02_7,8.1,passed all filters,7.5
K09_00061,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S11_00030,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S13_00021,9,2,yes,S13_3,5.91,passed all filters,5
S13_00021,9,2,yes,S13_5,7.86,passed all filters,5
M17_00075,9,1,yes,M17_4,9.25,passed all filters,8.5
M07_0475,9,2,yes,M07_2,7.65,passed all filters,7
M07_0475,9,2,yes,M07_3,9.64,passed all filters,7
M17_00183,9,1,yes,M17_2,11.13,passed all filters,10.5
K15_00040,9,1,yes,K15_1,8.69,passed all filters,8
N04_00013,9,1,yes,N04_5,9.91,passed all filters,9
